Drug[UMLS_CUI];DrugTargets[EntrezGene];Disease[UMLS_CUI];DiseaseProteins[EntrezGene]
"[""C0123091"",""C0380393""]";[1813,3356,3358];"""C0036341""";[113,207,288,348,488,551,607,627,694,775,783,816,837,1012,1108,1116,1136,1182,1268,1281,1312,1356,1610,1739,1806,1812,1813,1814,1815,1983,2107,2242,2260,2475,2559,2561,2563,2571,2572,2694,2823,2887,2898,2901,2903,2904,2906,2908,2912,2913,2931,2932,3084,3094,3123,3240,3269,3356,3362,3363,3553,3559,3569,3570,3632,3699,3700,3703,3791,3836,3908,4035,4124,4129,4160,4233,4524,4538,4729,4775,4790,4842,4855,4900,4908,4914,4923,5021,5045,5062,5108,5142,5245,5286,5291,5362,5371,5587,5625,5639,5649,5740,5816,5973,5999,6002,6347,6426,6472,6529,6531,6532,6671,6733,6854,6855,6863,6925,6942,7057,7124,7157,7166,7434,7444,7726,8204,8295,8379,8452,8542,8787,8991,9162,9378,9508,9600,9628,9638,9651,9685,9745,9821,9839,9947,9993,10000,10198,10274,10641,10659,10718,10752,10806,10814,10815,11278,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,25791,25797,25874,26047,26051,26058,27185,27257,29115,29119,51150,54659,54805,54806,55206,55366,55568,55717,55733,55737,55741,55824,56603,56924,56957,57142,57188,57412,57476,57502,57688,60493,63826,64478,64919,65078,79018,80145,80832,83857,83943,84062,84334,84547,84628,84678,90139,90273,90952,91574,91752,92017,94026,115111,116369,116987,119032,119749,131177,132200,133482,146279,147657,147929,152330,160777,166378,203062,220988,221393,222698,255101,259173,267012,280636,284217,319100,338442,339230,348327,348751,348980,387032,387509,641372]
"[""C0013136"",""C0018546"",""C0033399""]";[1813,1814,1815,3356];"""C0036341""";[113,207,288,348,488,551,607,627,694,775,783,816,837,1012,1108,1116,1136,1182,1268,1281,1312,1356,1610,1739,1806,1812,1813,1814,1815,1983,2107,2242,2260,2475,2559,2561,2563,2571,2572,2694,2823,2887,2898,2901,2903,2904,2906,2908,2912,2913,2931,2932,3084,3094,3123,3240,3269,3356,3362,3363,3553,3559,3569,3570,3632,3699,3700,3703,3791,3836,3908,4035,4124,4129,4160,4233,4524,4538,4729,4775,4790,4842,4855,4900,4908,4914,4923,5021,5045,5062,5108,5142,5245,5286,5291,5362,5371,5587,5625,5639,5649,5740,5816,5973,5999,6002,6347,6426,6472,6529,6531,6532,6671,6733,6854,6855,6863,6925,6942,7057,7124,7157,7166,7434,7444,7726,8204,8295,8379,8452,8542,8787,8991,9162,9378,9508,9600,9628,9638,9651,9685,9745,9821,9839,9947,9993,10000,10198,10274,10641,10659,10718,10752,10806,10814,10815,11278,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,25791,25797,25874,26047,26051,26058,27185,27257,29115,29119,51150,54659,54805,54806,55206,55366,55568,55717,55733,55737,55741,55824,56603,56924,56957,57142,57188,57412,57476,57502,57688,60493,63826,64478,64919,65078,79018,80145,80832,83857,83943,84062,84334,84547,84628,84678,90139,90273,90952,91574,91752,92017,94026,115111,116369,116987,119032,119749,131177,132200,133482,146279,147657,147929,152330,160777,166378,203062,220988,221393,222698,255101,259173,267012,280636,284217,319100,338442,339230,348327,348751,348980,387032,387509,641372]
"""C0009079""";[146,151,1131,1812,1813,1816,3269,3356,3357,3363];"""C0036341""";[113,207,288,348,488,551,607,627,694,775,783,816,837,1012,1108,1116,1136,1182,1268,1281,1312,1356,1610,1739,1806,1812,1813,1814,1815,1983,2107,2242,2260,2475,2559,2561,2563,2571,2572,2694,2823,2887,2898,2901,2903,2904,2906,2908,2912,2913,2931,2932,3084,3094,3123,3240,3269,3356,3362,3363,3553,3559,3569,3570,3632,3699,3700,3703,3791,3836,3908,4035,4124,4129,4160,4233,4524,4538,4729,4775,4790,4842,4855,4900,4908,4914,4923,5021,5045,5062,5108,5142,5245,5286,5291,5362,5371,5587,5625,5639,5649,5740,5816,5973,5999,6002,6347,6426,6472,6529,6531,6532,6671,6733,6854,6855,6863,6925,6942,7057,7124,7157,7166,7434,7444,7726,8204,8295,8379,8452,8542,8787,8991,9162,9378,9508,9600,9628,9638,9651,9685,9745,9821,9839,9947,9993,10000,10198,10274,10641,10659,10718,10752,10806,10814,10815,11278,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,25791,25797,25874,26047,26051,26058,27185,27257,29115,29119,51150,54659,54805,54806,55206,55366,55568,55717,55733,55737,55741,55824,56603,56924,56957,57142,57188,57412,57476,57502,57688,60493,63826,64478,64919,65078,79018,80145,80832,83857,83943,84062,84334,84547,84628,84678,90139,90273,90952,91574,91752,92017,94026,115111,116369,116987,119032,119749,131177,132200,133482,146279,147657,147929,152330,160777,166378,203062,220988,221393,222698,255101,259173,267012,280636,284217,319100,338442,339230,348327,348751,348980,387032,387509,641372]
"[""C0008188"",""C0009011"",""C0032910"",""C0012010"",""C0024002"",""C0039468"",""C1436328"",""C0040879"",""C0016375"",""C0014892""]";[2554,2555,2556,2558,2565,2566,2567];"""C0036341""";[113,207,288,348,488,551,607,627,694,775,783,816,837,1012,1108,1116,1136,1182,1268,1281,1312,1356,1610,1739,1806,1812,1813,1814,1815,1983,2107,2242,2260,2475,2559,2561,2563,2571,2572,2694,2823,2887,2898,2901,2903,2904,2906,2908,2912,2913,2931,2932,3084,3094,3123,3240,3269,3356,3362,3363,3553,3559,3569,3570,3632,3699,3700,3703,3791,3836,3908,4035,4124,4129,4160,4233,4524,4538,4729,4775,4790,4842,4855,4900,4908,4914,4923,5021,5045,5062,5108,5142,5245,5286,5291,5362,5371,5587,5625,5639,5649,5740,5816,5973,5999,6002,6347,6426,6472,6529,6531,6532,6671,6733,6854,6855,6863,6925,6942,7057,7124,7157,7166,7434,7444,7726,8204,8295,8379,8452,8542,8787,8991,9162,9378,9508,9600,9628,9638,9651,9685,9745,9821,9839,9947,9993,10000,10198,10274,10641,10659,10718,10752,10806,10814,10815,11278,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,25791,25797,25874,26047,26051,26058,27185,27257,29115,29119,51150,54659,54805,54806,55206,55366,55568,55717,55733,55737,55741,55824,56603,56924,56957,57142,57188,57412,57476,57502,57688,60493,63826,64478,64919,65078,79018,80145,80832,83857,83943,84062,84334,84547,84628,84678,90139,90273,90952,91574,91752,92017,94026,115111,116369,116987,119032,119749,131177,132200,133482,146279,147657,147929,152330,160777,166378,203062,220988,221393,222698,255101,259173,267012,280636,284217,319100,338442,339230,348327,348751,348980,387032,387509,641372]
"[""C0031184"",""C0040989"",""C0050458""]";1813;"""C0036341""";[113,207,288,348,488,551,607,627,694,775,783,816,837,1012,1108,1116,1136,1182,1268,1281,1312,1356,1610,1739,1806,1812,1813,1814,1815,1983,2107,2242,2260,2475,2559,2561,2563,2571,2572,2694,2823,2887,2898,2901,2903,2904,2906,2908,2912,2913,2931,2932,3084,3094,3123,3240,3269,3356,3362,3363,3553,3559,3569,3570,3632,3699,3700,3703,3791,3836,3908,4035,4124,4129,4160,4233,4524,4538,4729,4775,4790,4842,4855,4900,4908,4914,4923,5021,5045,5062,5108,5142,5245,5286,5291,5362,5371,5587,5625,5639,5649,5740,5816,5973,5999,6002,6347,6426,6472,6529,6531,6532,6671,6733,6854,6855,6863,6925,6942,7057,7124,7157,7166,7434,7444,7726,8204,8295,8379,8452,8542,8787,8991,9162,9378,9508,9600,9628,9638,9651,9685,9745,9821,9839,9947,9993,10000,10198,10274,10641,10659,10718,10752,10806,10814,10815,11278,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,25791,25797,25874,26047,26051,26058,27185,27257,29115,29119,51150,54659,54805,54806,55206,55366,55568,55717,55733,55737,55741,55824,56603,56924,56957,57142,57188,57412,57476,57502,57688,60493,63826,64478,64919,65078,79018,80145,80832,83857,83943,84062,84334,84547,84628,84678,90139,90273,90952,91574,91752,92017,94026,115111,116369,116987,119032,119749,131177,132200,133482,146279,147657,147929,152330,160777,166378,203062,220988,221393,222698,255101,259173,267012,280636,284217,319100,338442,339230,348327,348751,348980,387032,387509,641372]
"""C0073393""";[1813,3351,3352,3356,3358];"""C0036341""";[113,207,288,348,488,551,607,627,694,775,783,816,837,1012,1108,1116,1136,1182,1268,1281,1312,1356,1610,1739,1806,1812,1813,1814,1815,1983,2107,2242,2260,2475,2559,2561,2563,2571,2572,2694,2823,2887,2898,2901,2903,2904,2906,2908,2912,2913,2931,2932,3084,3094,3123,3240,3269,3356,3362,3363,3553,3559,3569,3570,3632,3699,3700,3703,3791,3836,3908,4035,4124,4129,4160,4233,4524,4538,4729,4775,4790,4842,4855,4900,4908,4914,4923,5021,5045,5062,5108,5142,5245,5286,5291,5362,5371,5587,5625,5639,5649,5740,5816,5973,5999,6002,6347,6426,6472,6529,6531,6532,6671,6733,6854,6855,6863,6925,6942,7057,7124,7157,7166,7434,7444,7726,8204,8295,8379,8452,8542,8787,8991,9162,9378,9508,9600,9628,9638,9651,9685,9745,9821,9839,9947,9993,10000,10198,10274,10641,10659,10718,10752,10806,10814,10815,11278,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,25791,25797,25874,26047,26051,26058,27185,27257,29115,29119,51150,54659,54805,54806,55206,55366,55568,55717,55733,55737,55741,55824,56603,56924,56957,57142,57188,57412,57476,57502,57688,60493,63826,64478,64919,65078,79018,80145,80832,83857,83943,84062,84334,84547,84628,84678,90139,90273,90952,91574,91752,92017,94026,115111,116369,116987,119032,119749,131177,132200,133482,146279,147657,147929,152330,160777,166378,203062,220988,221393,222698,255101,259173,267012,280636,284217,319100,338442,339230,348327,348751,348980,387032,387509,641372]
"""C0008286""";[146,147,1813,1814,1815,3269,3356,3358,59340];"""C0036341""";[113,207,288,348,488,551,607,627,694,775,783,816,837,1012,1108,1116,1136,1182,1268,1281,1312,1356,1610,1739,1806,1812,1813,1814,1815,1983,2107,2242,2260,2475,2559,2561,2563,2571,2572,2694,2823,2887,2898,2901,2903,2904,2906,2908,2912,2913,2931,2932,3084,3094,3123,3240,3269,3356,3362,3363,3553,3559,3569,3570,3632,3699,3700,3703,3791,3836,3908,4035,4124,4129,4160,4233,4524,4538,4729,4775,4790,4842,4855,4900,4908,4914,4923,5021,5045,5062,5108,5142,5245,5286,5291,5362,5371,5587,5625,5639,5649,5740,5816,5973,5999,6002,6347,6426,6472,6529,6531,6532,6671,6733,6854,6855,6863,6925,6942,7057,7124,7157,7166,7434,7444,7726,8204,8295,8379,8452,8542,8787,8991,9162,9378,9508,9600,9628,9638,9651,9685,9745,9821,9839,9947,9993,10000,10198,10274,10641,10659,10718,10752,10806,10814,10815,11278,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,25791,25797,25874,26047,26051,26058,27185,27257,29115,29119,51150,54659,54805,54806,55206,55366,55568,55717,55733,55737,55741,55824,56603,56924,56957,57142,57188,57412,57476,57502,57688,60493,63826,64478,64919,65078,79018,80145,80832,83857,83943,84062,84334,84547,84628,84678,90139,90273,90952,91574,91752,92017,94026,115111,116369,116987,119032,119749,131177,132200,133482,146279,147657,147929,152330,160777,166378,203062,220988,221393,222698,255101,259173,267012,280636,284217,319100,338442,339230,348327,348751,348980,387032,387509,641372]
"""C0031935""";[1812,1813,1814,1815,1816,3356];"""C0036341""";[113,207,288,348,488,551,607,627,694,775,783,816,837,1012,1108,1116,1136,1182,1268,1281,1312,1356,1610,1739,1806,1812,1813,1814,1815,1983,2107,2242,2260,2475,2559,2561,2563,2571,2572,2694,2823,2887,2898,2901,2903,2904,2906,2908,2912,2913,2931,2932,3084,3094,3123,3240,3269,3356,3362,3363,3553,3559,3569,3570,3632,3699,3700,3703,3791,3836,3908,4035,4124,4129,4160,4233,4524,4538,4729,4775,4790,4842,4855,4900,4908,4914,4923,5021,5045,5062,5108,5142,5245,5286,5291,5362,5371,5587,5625,5639,5649,5740,5816,5973,5999,6002,6347,6426,6472,6529,6531,6532,6671,6733,6854,6855,6863,6925,6942,7057,7124,7157,7166,7434,7444,7726,8204,8295,8379,8452,8542,8787,8991,9162,9378,9508,9600,9628,9638,9651,9685,9745,9821,9839,9947,9993,10000,10198,10274,10641,10659,10718,10752,10806,10814,10815,11278,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,25791,25797,25874,26047,26051,26058,27185,27257,29115,29119,51150,54659,54805,54806,55206,55366,55568,55717,55733,55737,55741,55824,56603,56924,56957,57142,57188,57412,57476,57502,57688,60493,63826,64478,64919,65078,79018,80145,80832,83857,83943,84062,84334,84547,84628,84678,90139,90273,90952,91574,91752,92017,94026,115111,116369,116987,119032,119749,131177,132200,133482,146279,147657,147929,152330,160777,166378,203062,220988,221393,222698,255101,259173,267012,280636,284217,319100,338442,339230,348327,348751,348980,387032,387509,641372]
"""C0033229""";[1813,1814];"""C0036341""";[113,207,288,348,488,551,607,627,694,775,783,816,837,1012,1108,1116,1136,1182,1268,1281,1312,1356,1610,1739,1806,1812,1813,1814,1815,1983,2107,2242,2260,2475,2559,2561,2563,2571,2572,2694,2823,2887,2898,2901,2903,2904,2906,2908,2912,2913,2931,2932,3084,3094,3123,3240,3269,3356,3362,3363,3553,3559,3569,3570,3632,3699,3700,3703,3791,3836,3908,4035,4124,4129,4160,4233,4524,4538,4729,4775,4790,4842,4855,4900,4908,4914,4923,5021,5045,5062,5108,5142,5245,5286,5291,5362,5371,5587,5625,5639,5649,5740,5816,5973,5999,6002,6347,6426,6472,6529,6531,6532,6671,6733,6854,6855,6863,6925,6942,7057,7124,7157,7166,7434,7444,7726,8204,8295,8379,8452,8542,8787,8991,9162,9378,9508,9600,9628,9638,9651,9685,9745,9821,9839,9947,9993,10000,10198,10274,10641,10659,10718,10752,10806,10814,10815,11278,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,25791,25797,25874,26047,26051,26058,27185,27257,29115,29119,51150,54659,54805,54806,55206,55366,55568,55717,55733,55737,55741,55824,56603,56924,56957,57142,57188,57412,57476,57502,57688,60493,63826,64478,64919,65078,79018,80145,80832,83857,83943,84062,84334,84547,84628,84678,90139,90273,90952,91574,91752,92017,94026,115111,116369,116987,119032,119749,131177,132200,133482,146279,147657,147929,152330,160777,166378,203062,220988,221393,222698,255101,259173,267012,280636,284217,319100,338442,339230,348327,348751,348980,387032,387509,641372]
"[""C0171023"",""C0040979"",""C0039943"",""C0024056""]";[1813,1814,1815,3356,3358];"""C0036341""";[113,207,288,348,488,551,607,627,694,775,783,816,837,1012,1108,1116,1136,1182,1268,1281,1312,1356,1610,1739,1806,1812,1813,1814,1815,1983,2107,2242,2260,2475,2559,2561,2563,2571,2572,2694,2823,2887,2898,2901,2903,2904,2906,2908,2912,2913,2931,2932,3084,3094,3123,3240,3269,3356,3362,3363,3553,3559,3569,3570,3632,3699,3700,3703,3791,3836,3908,4035,4124,4129,4160,4233,4524,4538,4729,4775,4790,4842,4855,4900,4908,4914,4923,5021,5045,5062,5108,5142,5245,5286,5291,5362,5371,5587,5625,5639,5649,5740,5816,5973,5999,6002,6347,6426,6472,6529,6531,6532,6671,6733,6854,6855,6863,6925,6942,7057,7124,7157,7166,7434,7444,7726,8204,8295,8379,8452,8542,8787,8991,9162,9378,9508,9600,9628,9638,9651,9685,9745,9821,9839,9947,9993,10000,10198,10274,10641,10659,10718,10752,10806,10814,10815,11278,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,25791,25797,25874,26047,26051,26058,27185,27257,29115,29119,51150,54659,54805,54806,55206,55366,55568,55717,55733,55737,55741,55824,56603,56924,56957,57142,57188,57412,57476,57502,57688,60493,63826,64478,64919,65078,79018,80145,80832,83857,83943,84062,84334,84547,84628,84678,90139,90273,90952,91574,91752,92017,94026,115111,116369,116987,119032,119749,131177,132200,133482,146279,147657,147929,152330,160777,166378,203062,220988,221393,222698,255101,259173,267012,280636,284217,319100,338442,339230,348327,348751,348980,387032,387509,641372]
"""C0010620""";[1132,1133,3269,3356,3357,3358];"""C0036341""";[113,207,288,348,488,551,607,627,694,775,783,816,837,1012,1108,1116,1136,1182,1268,1281,1312,1356,1610,1739,1806,1812,1813,1814,1815,1983,2107,2242,2260,2475,2559,2561,2563,2571,2572,2694,2823,2887,2898,2901,2903,2904,2906,2908,2912,2913,2931,2932,3084,3094,3123,3240,3269,3356,3362,3363,3553,3559,3569,3570,3632,3699,3700,3703,3791,3836,3908,4035,4124,4129,4160,4233,4524,4538,4729,4775,4790,4842,4855,4900,4908,4914,4923,5021,5045,5062,5108,5142,5245,5286,5291,5362,5371,5587,5625,5639,5649,5740,5816,5973,5999,6002,6347,6426,6472,6529,6531,6532,6671,6733,6854,6855,6863,6925,6942,7057,7124,7157,7166,7434,7444,7726,8204,8295,8379,8452,8542,8787,8991,9162,9378,9508,9600,9628,9638,9651,9685,9745,9821,9839,9947,9993,10000,10198,10274,10641,10659,10718,10752,10806,10814,10815,11278,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,25791,25797,25874,26047,26051,26058,27185,27257,29115,29119,51150,54659,54805,54806,55206,55366,55568,55717,55733,55737,55741,55824,56603,56924,56957,57142,57188,57412,57476,57502,57688,60493,63826,64478,64919,65078,79018,80145,80832,83857,83943,84062,84334,84547,84628,84678,90139,90273,90952,91574,91752,92017,94026,115111,116369,116987,119032,119749,131177,132200,133482,146279,147657,147929,152330,160777,166378,203062,220988,221393,222698,255101,259173,267012,280636,284217,319100,338442,339230,348327,348751,348980,387032,387509,641372]
"[""C0035179"",""C0035167"",""C0175158""]";6571;"""C0036341""";[113,207,288,348,488,551,607,627,694,775,783,816,837,1012,1108,1116,1136,1182,1268,1281,1312,1356,1610,1739,1806,1812,1813,1814,1815,1983,2107,2242,2260,2475,2559,2561,2563,2571,2572,2694,2823,2887,2898,2901,2903,2904,2906,2908,2912,2913,2931,2932,3084,3094,3123,3240,3269,3356,3362,3363,3553,3559,3569,3570,3632,3699,3700,3703,3791,3836,3908,4035,4124,4129,4160,4233,4524,4538,4729,4775,4790,4842,4855,4900,4908,4914,4923,5021,5045,5062,5108,5142,5245,5286,5291,5362,5371,5587,5625,5639,5649,5740,5816,5973,5999,6002,6347,6426,6472,6529,6531,6532,6671,6733,6854,6855,6863,6925,6942,7057,7124,7157,7166,7434,7444,7726,8204,8295,8379,8452,8542,8787,8991,9162,9378,9508,9600,9628,9638,9651,9685,9745,9821,9839,9947,9993,10000,10198,10274,10641,10659,10718,10752,10806,10814,10815,11278,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,25791,25797,25874,26047,26051,26058,27185,27257,29115,29119,51150,54659,54805,54806,55206,55366,55568,55717,55733,55737,55741,55824,56603,56924,56957,57142,57188,57412,57476,57502,57688,60493,63826,64478,64919,65078,79018,80145,80832,83857,83943,84062,84334,84547,84628,84678,90139,90273,90952,91574,91752,92017,94026,115111,116369,116987,119032,119749,131177,132200,133482,146279,147657,147929,152330,160777,166378,203062,220988,221393,222698,255101,259173,267012,280636,284217,319100,338442,339230,348327,348751,348980,387032,387509,641372]
"[""C0036579"",""C0525678""]";4129;"""C0036341""";[113,207,288,348,488,551,607,627,694,775,783,816,837,1012,1108,1116,1136,1182,1268,1281,1312,1356,1610,1739,1806,1812,1813,1814,1815,1983,2107,2242,2260,2475,2559,2561,2563,2571,2572,2694,2823,2887,2898,2901,2903,2904,2906,2908,2912,2913,2931,2932,3084,3094,3123,3240,3269,3356,3362,3363,3553,3559,3569,3570,3632,3699,3700,3703,3791,3836,3908,4035,4124,4129,4160,4233,4524,4538,4729,4775,4790,4842,4855,4900,4908,4914,4923,5021,5045,5062,5108,5142,5245,5286,5291,5362,5371,5587,5625,5639,5649,5740,5816,5973,5999,6002,6347,6426,6472,6529,6531,6532,6671,6733,6854,6855,6863,6925,6942,7057,7124,7157,7166,7434,7444,7726,8204,8295,8379,8452,8542,8787,8991,9162,9378,9508,9600,9628,9638,9651,9685,9745,9821,9839,9947,9993,10000,10198,10274,10641,10659,10718,10752,10806,10814,10815,11278,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,25791,25797,25874,26047,26051,26058,27185,27257,29115,29119,51150,54659,54805,54806,55206,55366,55568,55717,55733,55737,55741,55824,56603,56924,56957,57142,57188,57412,57476,57502,57688,60493,63826,64478,64919,65078,79018,80145,80832,83857,83943,84062,84334,84547,84628,84678,90139,90273,90952,91574,91752,92017,94026,115111,116369,116987,119032,119749,131177,132200,133482,146279,147657,147929,152330,160777,166378,203062,220988,221393,222698,255101,259173,267012,280636,284217,319100,338442,339230,348327,348751,348980,387032,387509,641372]
"""C0040805""";[3356,3358,6532];"""C0036341""";[113,207,288,348,488,551,607,627,694,775,783,816,837,1012,1108,1116,1136,1182,1268,1281,1312,1356,1610,1739,1806,1812,1813,1814,1815,1983,2107,2242,2260,2475,2559,2561,2563,2571,2572,2694,2823,2887,2898,2901,2903,2904,2906,2908,2912,2913,2931,2932,3084,3094,3123,3240,3269,3356,3362,3363,3553,3559,3569,3570,3632,3699,3700,3703,3791,3836,3908,4035,4124,4129,4160,4233,4524,4538,4729,4775,4790,4842,4855,4900,4908,4914,4923,5021,5045,5062,5108,5142,5245,5286,5291,5362,5371,5587,5625,5639,5649,5740,5816,5973,5999,6002,6347,6426,6472,6529,6531,6532,6671,6733,6854,6855,6863,6925,6942,7057,7124,7157,7166,7434,7444,7726,8204,8295,8379,8452,8542,8787,8991,9162,9378,9508,9600,9628,9638,9651,9685,9745,9821,9839,9947,9993,10000,10198,10274,10641,10659,10718,10752,10806,10814,10815,11278,22854,22906,22978,22997,23228,23236,23293,23314,23339,23731,23774,23780,25791,25797,25874,26047,26051,26058,27185,27257,29115,29119,51150,54659,54805,54806,55206,55366,55568,55717,55733,55737,55741,55824,56603,56924,56957,57142,57188,57412,57476,57502,57688,60493,63826,64478,64919,65078,79018,80145,80832,83857,83943,84062,84334,84547,84628,84678,90139,90273,90952,91574,91752,92017,94026,115111,116369,116987,119032,119749,131177,132200,133482,146279,147657,147929,152330,160777,166378,203062,220988,221393,222698,255101,259173,267012,280636,284217,319100,338442,339230,348327,348751,348980,387032,387509,641372]
